Entity,Code,Year,"Meat, game | 00001163 || Production | 005510 || tonnes","Meat, duck | 00001069 || Production | 005510 || tonnes","Meat, horse | 00001097 || Production | 005510 || tonnes","Meat, camel | 00001127 || Production | 005510 || tonnes","Meat, goose and guinea fowl | 00001073 || Production | 005510 || tonnes","Meat, sheep and goat | 00001807 || Production | 005510 || tonnes","Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes","Meat, pig | 00001035 || Production | 005510 || tonnes","Meat, poultry | 00001808 || Production | 005510 || tonnes"
Congo,COG,1972,8400,,,,,285,1092,1658,1230
Congo,COG,1973,8500,,,,,294,1170,1613,1400
Congo,COG,1974,8600,,,,,317,1326,1613,1200
Congo,COG,1975,8700,,,,,342,1404,1775,1500
Congo,COG,1976,8800,,,,,375,1638,2005,2500
Congo,COG,1977,8900,,,,,404,1638,2055,2600
Congo,COG,1978,9000,,,,,452,2340,2178,2780
Congo,COG,1979,10000,,,,,491,2340,1568,2730
Congo,COG,1980,10200,,,,,550,2106,1182,3400
Congo,COG,1981,10300,,,,,619,2184,986,4540
Congo,COG,1982,10400,,,,,651,2340,1081,4600
Congo,COG,1983,10500,,,,,684,2449,1114,4680
Congo,COG,1984,10600,,,,,755,2324,1378,4700
Congo,COG,1985,10600,,,,,787,2028,1557,5000
Congo,COG,1986,10700,,,,,882,1778,1982,5060
Congo,COG,1987,10800,,,,,963,1607,2122,5100
Congo,COG,1988,10800,,,,,1031,1521,2234,5150
Congo,COG,1989,11000,,,,,1093,1373,1988,5200
Congo,COG,1990,11143,,,,,1200,1716,2016,5300
Congo,COG,1991,11200,,,,,1159,1373,2061,5300
Congo,COG,1992,11500,,,,,1157,1217,2072,5400
Congo,COG,1993,11800,,,,,1164,1264,2128,5500
Congo,COG,1994,12000,,,,,1167,1295,2184,5600
Congo,COG,1995,12200,,,,,1164,1310,2240,5700
Congo,COG,1996,12400,,,,,1157,1342,2296,5800
Congo,COG,1997,13000,,,,,1142,1404,2324,5800
Congo,COG,1998,15000,,,,,1126,1342,2380,5700
Congo,COG,1999,16000,,,,,1126,1560,1350,5800
Congo,COG,2000,16647,,,,,1091,1622,1395,5800
Congo,COG,2001,17539,,,,,1091,1685,1410,5800
Congo,COG,2002,18000,,,,,1123,1716,1440,5000
Congo,COG,2003,19839,,,,,1123,1872,1450,5200
Congo,COG,2004,21000,,,,,1190,2808,1500,5500
Congo,COG,2005,24000,,,,,1242,3744,1520,5650
Congo,COG,2006,26000,,,,,1245,4680,1560,5640
Congo,COG,2007,28000,,,,,1275,5538,1600,5690
Congo,COG,2008,30000,,,,,1327,6080,1716,5850
Congo,COG,2009,32000,,,,,1446,5638,1831,6000
Congo,COG,2010,35598,,,,,1470,6150,1850,6250
Congo,COG,2011,41000,,,,,1495,6396,1890,6500
Congo,COG,2012,43622,,,,,1515,6552,1925,6600
Congo,COG,2013,40306,,,,,1536,6154,2000,6700
Congo,COG,2014,38767,,,,,1506,5892,1885,6541
Congo,COG,2015,46931,,,,,1483,5800,1739,6495
Congo,COG,2016,42001,,,,,1475,5784,1716,6564
Congo,COG,2017,42566,,,,,1494,5931,1810,6760
Congo,COG,2018,43833,,,,,1506,5850,1808,6745
Congo,COG,2019,42800,,,,,1518,5842,1795,6783
Congo,COG,2020,43066,,,,,1530,5833,1779,6821
Cook Islands,COK,1961,,,,,,9,5,165,40
Cook Islands,COK,1962,,,,,,9,5,168,40
Cook Islands,COK,1963,,,,,,9,5,173,41
Cook Islands,COK,1964,,,,,,9,5,165,42
Cook Islands,COK,1965,,,,,,10,6,219,43
Cook Islands,COK,1966,,,,,,8,14,72,45
Cook Islands,COK,1967,,,,,,8,5,145,46
Cook Islands,COK,1968,,,,,,7,5,145,48
Cook Islands,COK,1969,,,,,,6,5,145,50
Cook Islands,COK,1970,,,,,,5,6,145,52
Cook Islands,COK,1971,,,,,,15,6,145,54
Cook Islands,COK,1972,,,,,,4,6,90,56
Cook Islands,COK,1973,,,,,,3,7,120,58
Cook Islands,COK,1974,,,,,,8,7,210,58
Cook Islands,COK,1975,,,,,,8,8,240,59
Cook Islands,COK,1976,,,,,,8,7,425,59
Cook Islands,COK,1977,,,,,,9,8,465,60
Cook Islands,COK,1978,,,,,,9,8,465,60
Cook Islands,COK,1979,,,,,,9,7,465,61
Cook Islands,COK,1980,,,,,,9,7,468,56
Cook Islands,COK,1981,,,,,,9,7,471,52
Cook Islands,COK,1982,,,,,,8,7,480,48
Cook Islands,COK,1983,,,,,,8,7,479,44
Cook Islands,COK,1984,,,,,,8,7,480,40
Cook Islands,COK,1985,,,,,,8,7,480,36
Cook Islands,COK,1986,,,,,,8,7,480,32
Cook Islands,COK,1987,,,,,,8,7,450,24
Cook Islands,COK,1988,,,,,,8,7,420,16
Cook Islands,COK,1989,,,,,,8,6,390,16
Cook Islands,COK,1990,,,,,,8,5,360,20
Cook Islands,COK,1991,,,,,,8,5,330,20
Cook Islands,COK,1992,,,,,,18,2,270,24
Cook Islands,COK,1993,,,,,,6,4,360,8
Cook Islands,COK,1994,,,,,,8,4,420,12
Cook Islands,COK,1995,,,,,,8,3,480,16
Cook Islands,COK,1996,,,,,,8,2,600,72
Cook Islands,COK,1997,,,,,,8,2,689,80
Cook Islands,COK,1998,,,,,,9,10,735,80
Cook Islands,COK,1999,,,,,,8,6,613,64
Cook Islands,COK,2000,,,,,,8,6,587,48
Cook Islands,COK,2001,,,,,,8,5,520,32
Cook Islands,COK,2002,,,,,,6,3,511,32
Cook Islands,COK,2003,,,,,,5,3,520,24
Cook Islands,COK,2004,,,,,,2,2,550,14
Cook Islands,COK,2005,,,,,,2,2,550,14
Cook Islands,COK,2006,,,,,,2,2,550,14
Cook Islands,COK,2007,,,,,,2,3,555,20
Cook Islands,COK,2008,,,,,,2,3,555,20
Cook Islands,COK,2009,,,,,,2,3,555,20
Cook Islands,COK,2010,,,,,,2,4,555,20
Cook Islands,COK,2011,,,,,,2,4,555,20
Cook Islands,COK,2012,,,,,,2,4,555,20
Cook Islands,COK,2013,,,,,,2,4,555,20
Cook Islands,COK,2014,,,,,,2,4,555,20
Cook Islands,COK,2015,,,,,,2,3,544,19
Cook Islands,COK,2016,,,,,,2,3,518,20
Cook Islands,COK,2017,,,,,,2,3,515,19
Cook Islands,COK,2018,,,,,,2,3,466,19
Cook Islands,COK,2019,,,,,,1,3,406,19
Cook Islands,COK,2020,,,,,,1,3,342,19
Costa Rica,CRI,1961,,,,,,10,30000,5174,1566
Costa Rica,CRI,1962,,,,,,10,26200,5046,1750
Costa Rica,CRI,1963,,,,,,10,34000,5366,1956
Costa Rica,CRI,1964,,,,,,12,34800,5446,2197
Costa Rica,CRI,1965,,,,,,13,32300,6334,2476
Costa Rica,CRI,1966,,,,,,13,26274,6420,2525
Costa Rica,CRI,1967,,,,,,12,31270,4950,2587
Costa Rica,CRI,1968,,,,,,12,38055,5340,2635
Costa Rica,CRI,1969,,,,,,12,41057,5770,2727
Costa Rica,CRI,1970,,,,,,13,44570,7560,2741
Costa Rica,CRI,1971,,,,,,13,48596,8190,2859
Costa Rica,CRI,1972,,,,,,10,46880,8220,2856
Costa Rica,CRI,1973,,,,,,13,51955,8330,3008
Costa Rica,CRI,1974,,,,,,13,51976,8450,3084
Costa Rica,CRI,1975,,,,,,14,66573,7690,3170
Costa Rica,CRI,1976,,,,,,14,80780,8520,5415
Costa Rica,CRI,1977,,,,,,14,80350,9989,5427
Costa Rica,CRI,1978,,,,,,14,75702,9750,5589
Costa Rica,CRI,1979,,,,,,14,83564,9880,8000
Costa Rica,CRI,1980,,,,,,16,76500,9800,10000
Costa Rica,CRI,1981,,,,,,17,80000,10000,11000
Costa Rica,CRI,1982,,,,,,18,66000,13840,12269
Costa Rica,CRI,1983,,,,,,18,67000,13730,17500
Costa Rica,CRI,1984,,,,,,19,76790,10874,17110
Costa Rica,CRI,1985,,,,,,19,93500,12363,19547
Costa Rica,CRI,1986,,,,,,19,92000,10187,18675
Costa Rica,CRI,1987,,,,,,19,97007,9613,20200
Costa Rica,CRI,1988,,,,,,19,86000,15707,28000
Costa Rica,CRI,1989,,,,,,19,85507,14136,39572
Costa Rica,CRI,1990,,,,,,19,87481,14282,42991
Costa Rica,CRI,1991,,,,,,19,93962,17314,47465
Costa Rica,CRI,1992,,,,,,19,80908,19246,49947
Costa Rica,CRI,1993,,,,,,10,81898,19108,52251
Costa Rica,CRI,1994,,,,,,19,95454,23079,54335
Costa Rica,CRI,1995,,,,,,22,93587,23616,60424
Costa Rica,CRI,1996,,,,,,19,96417,20106,65867
Costa Rica,CRI,1997,,,,,,19,86142,21219,62838
Costa Rica,CRI,1998,,,,,,19,82033,24775,65490
Costa Rica,CRI,1999,,,,,,21,84442,28951,74480
Costa Rica,CRI,2000,,,,,,23,82268,30782,73240
Costa Rica,CRI,2001,,,,,,26,74348,35673,77160
Costa Rica,CRI,2002,,,,,,29,68312,36021,76724
Costa Rica,CRI,2003,,,,,,30,74104,35786,71820
Costa Rica,CRI,2004,,,,,,30,70021,37935,84461
Costa Rica,CRI,2005,,,,,,30,80741,39062,90952
Costa Rica,CRI,2006,,,,,,30,75341,40706,98261
Costa Rica,CRI,2007,,,,,,31,80847,48012,110377
Costa Rica,CRI,2008,,,,,,32,87524,50192,106590
Costa Rica,CRI,2009,,,,,,33,94592,49601,110548
Costa Rica,CRI,2010,,,,,,33,97486,46528,115663
Costa Rica,CRI,2011,,,,,,33,95999,51791,110273
Costa Rica,CRI,2012,,,,,,35,87520,54315,112973
Costa Rica,CRI,2013,,,,,,35,85033,53694,119838
Costa Rica,CRI,2014,,,,,,34,88196,55024,123700
Costa Rica,CRI,2015,,,,,,34,82008,57504,124567
Costa Rica,CRI,2016,,,,,,34,72975,60361,128266
Costa Rica,CRI,2017,,,,,,35,77994,60640,133200
Costa Rica,CRI,2018,,,,,,35,81195,63390,135500
Costa Rica,CRI,2019,,,,,,35,88595,64980,145000
Costa Rica,CRI,2020,,,,,,36,89744,67607,137500
Cote d'Ivoire,CIV,1961,40000,,,,,5570,15048,2063,4185
Cote d'Ivoire,CIV,1962,40000,,,,,5800,15346,2069,4464
Cote d'Ivoire,CIV,1963,40000,,,,,6100,16374,2462,4511
Cote d'Ivoire,CIV,1964,50000,,,,,6480,19481,2783,4836
Cote d'Ivoire,CIV,1965,50000,,,,,6900,20435,2930,4929
Cote d'Ivoire,CIV,1966,50000,,,,,7340,23153,3150,5115
Cote d'Ivoire,CIV,1967,55000,,,,,7840,28085,3155,5208
Cote d'Ivoire,CIV,1968,55000,,,,,8250,34250,4439,5301
Cote d'Ivoire,CIV,1969,55000,,,,,8400,36716,4541,5348
Cote d'Ivoire,CIV,1970,55000,,,,,8850,38360,4646,5859
Cote d'Ivoire,CIV,1971,60000,,,,,9350,41785,4725,6045
Cote d'Ivoire,CIV,1972,60000,,,,,10300,45621,4970,6510
Cote d'Ivoire,CIV,1973,60000,,,,,10100,37675,5320,7161
Cote d'Ivoire,CIV,1974,65000,,,,,10250,30140,5705,7905
Cote d'Ivoire,CIV,1975,65000,,,,,10750,27400,6195,9858
Cote d'Ivoire,CIV,1976,65000,,,,,9800,27400,6755,12090
Cote d'Ivoire,CIV,1977,70000,,,,,9850,31510,7630,13299
Cote d'Ivoire,CIV,1978,70000,,,,,10700,34250,8295,15810
Cote d'Ivoire,CIV,1979,69125,,,,,9750,38360,8680,18600
Cote d'Ivoire,CIV,1980,70000,,,,,9450,42470,8820,19530
Cote d'Ivoire,CIV,1981,75000,,,,,11110,42744,8960,21390
Cote d'Ivoire,CIV,1982,80000,,,,,9990,34935,9030,20925
Cote d'Ivoire,CIV,1983,80000,,,,,10500,42196,9100,20460
Cote d'Ivoire,CIV,1984,85000,,,,,9990,43155,9170,21111
Cote d'Ivoire,CIV,1985,85000,,,,,10475,42470,9240,21576
Cote d'Ivoire,CIV,1986,90000,,,,,10115,30140,9310,24645
Cote d'Ivoire,CIV,1987,90000,,,,,9720,28085,9380,24180
Cote d'Ivoire,CIV,1988,90000,,,,,9690,29455,9590,24180
Cote d'Ivoire,CIV,1989,95000,,,,,9900,30825,9800,24645
Cote d'Ivoire,CIV,1990,100000,,,,,9904,31043,10080,24180
Cote d'Ivoire,CIV,1991,99893,,,,,9854,32698,10360,24180
Cote d'Ivoire,CIV,1992,100100,,,,,9880,34177,10640,24180
Cote d'Ivoire,CIV,1993,100319,,,,,10555,34226,10990,24645
Cote d'Ivoire,CIV,1994,100558,,,,,10670,34435,11340,24180
Cote d'Ivoire,CIV,1995,100799,,,,,10785,36990,12950,24180
Cote d'Ivoire,CIV,1996,101114,,,,,10950,34770,7700,23250
Cote d'Ivoire,CIV,1997,101487,,,,,11354,35000,7525,23250
Cote d'Ivoire,CIV,1998,101515,,,,,10857,33326,5841,22236
Cote d'Ivoire,CIV,1999,104865,,,,,10688,32268,6086,20679
Cote d'Ivoire,CIV,2000,108326,,,,,10391,33232,6347,22088
Cote d'Ivoire,CIV,2001,111900,,,,,10483,32243,6624,21479
Cote d'Ivoire,CIV,2002,115593,,,,,9935,27713,6764,21542
Cote d'Ivoire,CIV,2003,119408,,,,,9971,26279,6907,20688
Cote d'Ivoire,CIV,2004,123348,,,,,11197,28445,7054,23859
Cote d'Ivoire,CIV,2005,127418,,,,,11703,29612,7203,22521
Cote d'Ivoire,CIV,2006,130000,,,,,12033,31145,7357,22346
Cote d'Ivoire,CIV,2007,132000,,,,,9339,28928,6920,22576
Cote d'Ivoire,CIV,2008,135000,,,,,11631,30678,6902,22786
Cote d'Ivoire,CIV,2009,137000,,,,,11650,33558,7082,23388
Cote d'Ivoire,CIV,2010,137136,,,,,12020,34264,6894,34899
Cote d'Ivoire,CIV,2011,140070,,,,,12300,31315,7195,33683
Cote d'Ivoire,CIV,2012,142072,,,,,12620,31080,7215,41987
Cote d'Ivoire,CIV,2013,144450,,,,,12770,31835,7323,47553
Cote d'Ivoire,CIV,2014,146817,,,,,12021,30577,7589,45624
Cote d'Ivoire,CIV,2015,148484,,,,,11554,30455,7788,42951
Cote d'Ivoire,CIV,2016,150060,,,,,12797,30740,8900,50838
Cote d'Ivoire,CIV,2017,152081,,,,,14146,33862,9958,56781
Cote d'Ivoire,CIV,2018,153828,,,,,14971,33008,11311,71123
Cote d'Ivoire,CIV,2019,151990,,,,,16110,33559,11621,74097
Cote d'Ivoire,CIV,2020,152633,,,,,17248,34109,11938,72832
Croatia,HRV,1992,,920,3800,,3000,2554,36778,65000,40120
Croatia,HRV,1993,,830,3600,,2700,2254,33824,59600,36230
Croatia,HRV,1994,,960,3200,,3000,2052,28346,60400,40182
Croatia,HRV,1995,,800,3000,,2700,1850,25838,55600,38935
Croatia,HRV,1996,,700,3000,,2000,1897,21517,56374,37389
Croatia,HRV,1997,,500,3000,,1600,1979,26276,54510,37751
Croatia,HRV,1998,,410,3000,,1300,1934,25691,60120,33112
Croatia,HRV,1999,,320,3000,,1150,4317,27614,64240,32400
Croatia,HRV,2000,,320,3000,,1150,2253,27854,63700,32770
Croatia,HRV,2001,,320,3000,,1150,2218,25570,63900,33670
Croatia,HRV,2002,,330,3000,,1150,2588,26602,65100,43082
Croatia,HRV,2003,,325,3000,,1150,3198,28150,61750,50362
Croatia,HRV,2004,,300,3000,,1150,2429,31507,80000,51309
Croatia,HRV,2005,,260,3000,,900,3098,32800,112200,40660
Croatia,HRV,2006,,250,3000,,860,2864,36230,112300,38710
Croatia,HRV,2007,,300,3000,,900,2918,33400,127900,40900
Croatia,HRV,2008,,300,3000,,900,3062,35700,121000,40700
Croatia,HRV,2009,,200,3000,,800,3003,36800,131000,37800
Croatia,HRV,2010,,200,3000,,600,3230,37500,121000,54400
Croatia,HRV,2011,,180,3000,,740,6016,36200,120100,55020
Croatia,HRV,2012,,170,3000,,1100,6499,47100,126900,64870
Croatia,HRV,2013,,164,3000,,650,6500,47400,106500,59514
Croatia,HRV,2014,,171,3082,,559,6100,44300,95700,60330
Croatia,HRV,2015,,168,3157,,770,5600,42000,94000,64638
Croatia,HRV,2016,,168,3263,,660,5471,44709,98018,65734
Croatia,HRV,2017,,169,3353,,663,5304,42562,104505,65936
Croatia,HRV,2018,,,,,,5770,43780,113500,64109
Croatia,HRV,2019,,,,,,5840,45430,120800,67791
Croatia,HRV,2020,,,,,,5560,43370,110300,70351
Cuba,CUB,1961,,,936,,,1132,140000,27200,20000
Cuba,CUB,1962,,,960,,,1134,147700,28000,22000
Cuba,CUB,1963,,,1020,,,1097,152500,29600,25000
Cuba,CUB,1964,,,1080,,,1074,163400,31200,27000
Cuba,CUB,1965,,,1080,,,1108,169800,32800,30000
Cuba,CUB,1966,,,1140,,,1152,171000,35000,34000
Cuba,CUB,1967,,,1200,,,1180,173000,33000,35000
Cuba,CUB,1968,,,1260,,,1231,230000,31000,36000
Cuba,CUB,1969,,,1320,,,1267,220000,32000,38000
Cuba,CUB,1970,,,1320,,,1310,202500,32800,40000
Cuba,CUB,1971,,,1380,,,1343,189200,38400,42400
Cuba,CUB,1972,,,1416,,,1379,179100,37600,47200
Cuba,CUB,1973,,,1440,,,1426,155300,40800,52000
Cuba,CUB,1974,,,1440,,,1470,132000,38000,50100
Cuba,CUB,1975,,,1440,,,1512,120000,34640,45360
Cuba,CUB,1976,,,1440,,,1530,150000,41920,49760
Cuba,CUB,1977,,,1440,,,1560,170000,78320,53280
Cuba,CUB,1978,,,1632,,,1590,160000,49270,61280
Cuba,CUB,1979,,,1440,,,1608,145000,48390,64000
Cuba,CUB,1980,,,1560,,,1626,146500,46080,72700
Cuba,CUB,1981,,,1620,,,1644,143000,54260,85882
Cuba,CUB,1982,,,1620,,,1662,140989,56480,63609
Cuba,CUB,1983,,,1644,,,1692,142128,60560,75442
Cuba,CUB,1984,,,1680,,,1818,141846,68480,89705
Cuba,CUB,1985,,,1716,,,1884,142298,75840,95295
Cuba,CUB,1986,,,1728,,,1926,147519,80160,94712
Cuba,CUB,1987,,,1740,,,1956,140098,84800,90694
Cuba,CUB,1988,,,1680,,,1956,141472,83680,95226
Cuba,CUB,1989,,,1740,,,5964,138185,88300,98178
Cuba,CUB,1990,,,1740,,,6180,136200,101120,91300
Cuba,CUB,1991,,,1656,,,6360,90400,91200,89000
Cuba,CUB,1992,,,1596,,,6504,76809,80669,49875
Cuba,CUB,1993,,,1296,,,6102,65501,107986,49394
Cuba,CUB,1994,,,1272,,,6024,63755,116709,53677
Cuba,CUB,1995,,,1236,,,3840,67306,107465,56724
Cuba,CUB,1996,,,1200,,,3552,71900,116253,58346
Cuba,CUB,1997,,,1104,,,4200,70550,64614,61780
Cuba,CUB,1998,,,1020,,,5130,74061,80718,56654
Cuba,CUB,1999,,,1080,,,5760,76200,99342,57899
Cuba,CUB,2000,,,1080,,,7826,75774,94322,57197
Cuba,CUB,2001,,,1044,,,8049,74953,75856,54832
Cuba,CUB,2002,,,1056,,,9500,65815,89787,35100
Cuba,CUB,2003,,,1068,,,9500,56150,93984,33696
Cuba,CUB,2004,,,798,,,10050,55250,98274,35646
Cuba,CUB,2005,,,600,,,10150,59900,96690,29484
Cuba,CUB,2006,,,228,,,9450,55650,99858,31200
Cuba,CUB,2007,,,203,,,11650,54050,177012,33540
Cuba,CUB,2008,,,181,,,12400,61950,192720,33072
Cuba,CUB,2009,,,149,,,12500,65000,178860,33228
Cuba,CUB,2010,,,162,,,12750,63500,172260,33618
Cuba,CUB,2011,,,172,,,14250,66500,176220,35412
Cuba,CUB,2012,,,166,,,14700,67050,166320,35022
Cuba,CUB,2013,,,162,,,13800,66900,193314,32448
Cuba,CUB,2014,,,192,,,13650,71350,196944,32994
Cuba,CUB,2015,,,189,,,12100,75600,204402,33462
Cuba,CUB,2016,,,206,,,12655,83800,223674,30576
Cuba,CUB,2017,,,290,,,13436,83550,234300,29250
Cuba,CUB,2018,,,215,,,13280,79629,229042,28825
Cuba,CUB,2019,,,214,,,11984,80710,235153,35400
Cuba,CUB,2020,,,215,,,11624,66501,128377,16400
Cyprus,CYP,1961,120,20,,,,3983,2235,1829,3077
Cyprus,CYP,1962,120,20,,,,4043,2337,2032,3308
Cyprus,CYP,1963,120,20,,,,4216,2438,2540,3538
Cyprus,CYP,1964,120,20,,,,4369,2540,2743,3793
Cyprus,CYP,1965,120,6,,,,4572,2642,3150,4723
Cyprus,CYP,1966,125,6,,,,4979,2692,6706,5032
Cyprus,CYP,1967,125,6,,,,5537,2743,7620,6048
Cyprus,CYP,1968,125,6,,,,6147,2845,8128,7352
Cyprus,CYP,1969,125,6,,,,6858,2946,11176,9632
Cyprus,CYP,1970,125,6,,,,7955,3048,12192,9841
Cyprus,CYP,1971,130,6,,,,8788,3251,12700,10504
Cyprus,CYP,1972,130,8,,,,9185,3556,13716,10963
Cyprus,CYP,1973,130,6,,,,10576,3962,15951,10461
Cyprus,CYP,1974,130,4,,,,6909,2032,14732,8294
Cyprus,CYP,1975,135,6,,,,3607,1372,12192,7408
Cyprus,CYP,1976,135,6,,,,4145,1575,13614,7965
Cyprus,CYP,1977,135,18,,,,4642,1636,14224,8348
Cyprus,CYP,1978,135,16,,,,5776,1849,15240,8907
Cyprus,CYP,1979,140,6,,,,5492,1829,15646,10437
Cyprus,CYP,1980,140,20,,,,5337,2022,15321,10515
Cyprus,CYP,1981,140,30,,,,5387,2032,17526,10941
Cyprus,CYP,1982,140,26,,,,5570,2002,19609,12193
Cyprus,CYP,1983,145,28,,,,5890,2450,21000,13694
Cyprus,CYP,1984,145,30,,,,6440,2445,23250,14245
Cyprus,CYP,1985,145,24,,,,7430,2750,23600,14093
Cyprus,CYP,1986,145,42,,,,7830,3600,23200,15976
Cyprus,CYP,1987,150,28,,,,9000,4100,25300,15202
Cyprus,CYP,1988,150,50,,,,8800,4000,27400,17590
Cyprus,CYP,1989,175,60,,,,8250,4100,29300,21124
Cyprus,CYP,1990,148,54,,,,8100,4100,31400,22240
Cyprus,CYP,1991,170,52,,,,6960,4600,31900,21127
Cyprus,CYP,1992,160,70,,,,6640,4550,33500,25268
Cyprus,CYP,1993,160,90,,,,7350,4200,39200,26625
Cyprus,CYP,1994,500,100,,,,7390,4430,42500,27985
Cyprus,CYP,1995,300,120,,,,7820,5030,42800,29835
Cyprus,CYP,1996,318,100,,,,7740,4900,45600,31194
Cyprus,CYP,1997,350,160,,,,8080,5400,46100,33244
Cyprus,CYP,1998,417,130,,,,9840,4000,47200,32744
Cyprus,CYP,1999,420,150,,,,10750,3950,49150,34676
Cyprus,CYP,2000,425,190,,,,10520,4450,52250,32559
Cyprus,CYP,2001,534,218,,,,10990,3900,50700,34136
Cyprus,CYP,2002,268,251,,,,12580,3800,51800,35123
Cyprus,CYP,2003,495,260,,,,8061,4003,54313,33411
Cyprus,CYP,2004,645,182,,,,6990,3804,55215,32782
Cyprus,CYP,2005,440,71,,,,6945,4182,54684,33552
Cyprus,CYP,2006,236,62,,,,7175,4003,52512,27273
Cyprus,CYP,2007,336,62,,,,7106,3920,54978,29142
Cyprus,CYP,2008,292,25,,,,7211,4248,59173,29406
Cyprus,CYP,2009,289,0,,,,5486,4505,58102,27732
Cyprus,CYP,2010,473,0,,,,4843,4479,57058,28146
Cyprus,CYP,2011,548,0,,,,4925,4827,55213,27429
Cyprus,CYP,2012,473,0,,,,5732,5313,51722,25594
Cyprus,CYP,2013,401,0,,,,5294,4562,48664,22271
Cyprus,CYP,2014,473,0,,,,5205,4573,42618,21923
Cyprus,CYP,2015,481,0,,,,5449,4953,43774,24174
Cyprus,CYP,2016,591,0,,,,4953,4954,43899,24264
Cyprus,CYP,2017,327,0,,,,5257,5101,43143,25529
Cyprus,CYP,2018,,0,,,,5620,5280,41800,25420
Cyprus,CYP,2019,,0,,,,5430,5610,43350,26850
Cyprus,CYP,2020,,0,,,,4650,4640,42430,26680
Czechia,CZE,1996,800,2800,240,,4900,3627,163515,502354,147600
Czechia,CZE,1997,1000,2800,280,,4700,3526,155706,463556,176700
Czechia,CZE,2000,1500,3938,189,,4502,1100,108161,416600,218565
Czechia,CZE,2001,1215,3940,110,,5528,1148,106045,414643,241831
Czechia,CZE,2002,1173,3791,99,,3146,1113,109494,415634,227507
Czechia,CZE,2003,1000,4218,82,,3113,1359,108126,411194,221677
Czechia,CZE,2004,1500,7141,65,,3155,875,96660,425502,232168
Czechia,CZE,2005,2000,8333,82,,3119,1453,81031,380290,241256
Czechia,CZE,2006,900,10088,77,,3000,1623,79187,358505,230600
Czechia,CZE,2007,1100,8593,68,,2250,1646,79328,360318,216694
Czechia,CZE,2008,1151,8836,65,,1800,1868,80020,336485,210267
Czechia,CZE,2009,900,8170,66,,1500,2020,77026,300136,201397
Czechia,CZE,2010,1122,6942,63,,1500,2225,74259,291469,195253
Czechia,CZE,2011,1100,4562,81,,750,2370,72125,274617,175648
Czechia,CZE,2012,1200,3892,80,,603,3007,66060,249869,157017
Czechia,CZE,2013,1220,4468,74,,605,3320,65322,242833,152692
Czechia,CZE,2014,1196,5508,64,,604,3493,66151,245610,153836
Czechia,CZE,2015,1197,6790,36,,454,3545,69014,237438,155192
Czechia,CZE,2016,1200,7183,27,,460,3874,72794,229089,160756
Czechia,CZE,2017,1200,9115,22,,613,3972,67714,220267,163445
Czechia,CZE,1993,,2500,176,,4500,5289,216241,614933,133940
Czechia,CZE,1994,,2401,155,,4700,4264,170158,470554,123160
Czechia,CZE,1995,,2700,180,,4850,4037,169512,502244,151888
Czechia,CZE,1998,,2996,326,,4800,3300,134461,475700,200693
Czechia,CZE,1999,,3890,326,,5000,3483,120690,451631,205165
Czechia,CZE,2018,,11276,27,,619,4010,72940,219900,165915
Czechia,CZE,2019,,,11,,,4020,74450,218610,170470
Czechia,CZE,2020,,,,,,3670,74300,220610,172976
Czechoslovakia,OWID_CZS,1961,,1367,10000,,7518,8600,207153,468802,49100
Czechoslovakia,OWID_CZS,1962,,1084,8000,,7098,7700,229100,458991,47500
Czechoslovakia,OWID_CZS,1963,,1159,4900,,6846,5900,220278,472589,49600
Czechoslovakia,OWID_CZS,1964,,1359,3500,,7938,5000,238465,509144,54900
Czechoslovakia,OWID_CZS,1965,,1084,2400,,8022,6742,251060,572985,53228
Czechoslovakia,OWID_CZS,1966,,1021,2038,,7560,5645,265465,533531,57117
Czechoslovakia,OWID_CZS,1967,,1264,1922,,7602,5655,296362,547646,65388
Czechoslovakia,OWID_CZS,1968,,1544,2213,,7182,5506,326657,573757,78501
Czechoslovakia,OWID_CZS,1969,,1705,2261,,6594,6340,314427,537083,80529
Czechoslovakia,OWID_CZS,1970,,1859,1816,,6048,7492,314691,563282,102553
Czechoslovakia,OWID_CZS,1971,,2161,1628,,5964,7747,328414,599642,111401
Czechoslovakia,OWID_CZS,1972,,1938,2534,,5628,7598,331401,656909,118793
Czechoslovakia,OWID_CZS,1973,,1825,1187,,5460,7910,356128,645647,123908
Czechoslovakia,OWID_CZS,1974,,2211,951,,4830,7234,379924,675546,129352
Czechoslovakia,OWID_CZS,1975,,1819,869,,4158,6687,380265,708997,134332
Czechoslovakia,OWID_CZS,1976,,1663,788,,4074,6537,365200,699181,141284
Czechoslovakia,OWID_CZS,1977,,1888,663,,4326,5796,364896,750671,151736
Czechoslovakia,OWID_CZS,1978,,1844,615,,4074,5162,371029,797569,161133
Czechoslovakia,OWID_CZS,1979,,1831,554,,3738,5802,380827,796665,168468
Czechoslovakia,OWID_CZS,1980,,1882,452,,3906,6337,385127,818591,171820
Czechoslovakia,OWID_CZS,1981,,2083,455,,3612,7038,372803,853223,170335
Czechoslovakia,OWID_CZS,1982,,2001,402,,3738,8150,372547,742711,169556
Czechoslovakia,OWID_CZS,1983,,2096,432,,3612,9703,383662,795564,166934
Czechoslovakia,OWID_CZS,1984,,2039,495,,3654,11154,405957,814330,169236
Czechoslovakia,OWID_CZS,1985,,1785,565,,2940,11490,412605,822886,172059
